device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName,package_name,package_info
LMC000004,100.110.8.233,1,20,IPC05521,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078114,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000106,100.110.8.163,1,20,IPC05523,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4010768,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000167,100.110.9.26,1,20,IPC05548,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3908979,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000171,100.110.8.100,1,20,IPC05319,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4047784,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000473,100.110.10.16,1,20,IPC05548,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356838,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000592,100.110.3.56,1,20,IPC01281,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3455024,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000597,100.110.2.64,1,20,IPC05020,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3126381,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000671,100.110.2.19,1,20,IPC04472,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3094328,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000968,100.110.2.20,1,20,IPC04472,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2945746,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON000970,100.110.3.199,1,20,IPC05414,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3935750,FWA-5020,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON002113,100.110.2.48,1,20,IPC04472,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2882132,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON002223,100.110.3.22,1,20,IPC04932,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3126372,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LON003653,100.110.3.29,1,20,IPC04514,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2874190,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
