device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName,package_name,package_info,,,
ANR000304,100.110.15.221,1,1,IPC03257,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4269755,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
AUT000005,100.110.9.214,1,1,IPC03257,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4099150,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
BCN000928,100.110.3.133,1,1,IPC03264,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3820882,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
BER009768,100.110.3.135,1,1,IPC03264,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3908989,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
BRU000007,100.110.8.241,1,1,IPC02945,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3908977,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
BRU001160,100.110.3.189,1,1,IPC02945,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3820891,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
BRU001738,100.110.3.187,1,1,IPC02945,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3820884,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
FIN000902,100.110.15.183,1,1,IPC03264,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464939,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
FRA005348,100.110.9.200,1,1,IPC03257,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268126,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
GER000546,100.110.9.92,1,1,IPC01281,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3874397,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
LIS004682,100.110.3.158,1,1,IPC03264,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3810727,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,,,
