cpe,upgrade,interface,bgp_nbr_match,route_match,config_match
FRA000312,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
FRA000332,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
FRA000594,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
FRA000971,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
FRA001329,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
FRA002302,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
FRA002627,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
FRA005348,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
FRA009020,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000109,VD --> CPE Request connect failed.
GER000084,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000090,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000168,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000192,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000197,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000199,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000252,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000272,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000281,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000291,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000300,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000324,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000329,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000331,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000338,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000351,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000353,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000359,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000364,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000381,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000382,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000399,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000402,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000416,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000424,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000436,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000450,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000465,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000478,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000479,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000480,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000493,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000496,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000527,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000539,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000546,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000548,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000549,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
