device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName
GER003610,100.110.10.165,1,1,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4435694,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER003795,100.110.8.177,1,1,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4099148,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER003967,100.110.10.20,1,1,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4435600,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004012,100.110.15.190,1,1,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4506854,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004016,100.110.15.189,1,1,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464890,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004232,192.168.28.44,1,1,IPC04584,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA1173567,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004291,100.110.2.133,1,1,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2945747,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004367,192.168.28.37,1,1,IPC01941W,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004476,192.168.28.214,1,1,IPC04578,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2945745,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004480,192.168.28.40,1,1,IPC04584,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA1714332,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004481,192.168.28.43,1,1,IPC04584,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA2820883,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004487,192.168.28.218,1,1,IPC04578,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2945752,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004520,100.110.2.34,1,1,IPC04305W,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2882139,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004614,100.110.10.211,1,1,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464815,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004743,192.168.28.239,1,1,IPC04578,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2876208,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004746,192.168.28.212,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4017460,FWA-3260,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004769,100.110.2.87,1,1,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2876203,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004791,100.110.2.32,1,1,IPC04472,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2876189,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004792,100.110.10.52,1,1,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464824,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004826,192.168.28.122,1,1,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2945728,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004828,192.168.28.128,1,2,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2830632,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004829,192.168.28.131,1,2,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2945727,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004835,100.110.2.88,1,2,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2882157,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004846,100.110.2.95,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3094311,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004868,100.110.2.132,1,2,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3007158,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004877,100.110.2.91,1,2,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2830621,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004888,100.110.2.86,1,2,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2882115,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004891,100.110.2.90,1,2,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3094312,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004895,100.110.2.208,1,2,IPC04946,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2882112,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004918,100.110.2.97,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3094305,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004925,100.110.2.109,1,2,IPC04578,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3094324,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004926,100.110.2.112,1,2,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268117,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004935,100.110.8.143,1,2,IPC05517,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3887915,FWA-1010VC,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004962,100.110.3.55,1,2,IPC04305W,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3316631,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004970,100.110.3.134,1,2,IPC04578,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3548339,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER004994,100.110.2.89,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2882153,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER005030,100.110.8.183,1,2,IPC05521,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078115,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005104,100.110.2.2,1,2,IPC05410,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3773434,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005110,100.110.2.227,1,2,IPC04489,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3300295,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER005126,100.110.9.23,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078120,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005183,100.110.9.16,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4099144,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005190,100.110.9.32,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076471,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005211,100.110.2.212,1,2,IPC04578,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3725714,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER005216,100.110.9.17,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4099167,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005306,100.110.9.36,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4435635,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005307,100.110.9.37,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076483,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005308,100.110.9.39,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078101,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005311,100.110.9.42,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4099147,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005312,100.110.9.43,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4099158,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005323,100.110.9.93,1,2,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4435706,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005327,100.110.9.122,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464822,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005328,100.110.9.123,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464819,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005329,100.110.9.124,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078152,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005331,100.110.9.142,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076463,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005335,100.110.9.163,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268103,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005336,100.110.9.169,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268127,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005337,100.110.9.176,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268104,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005338,100.110.9.183,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268125,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005339,100.110.9.191,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268109,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005341,100.110.9.195,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268123,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005344,100.110.9.197,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3957762,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005347,100.110.9.199,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4269756,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005349,100.110.9.202,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4269757,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005350,100.110.9.218,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268114,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005352,100.110.9.238,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268156,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005356,100.110.9.240,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268108,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005358,100.110.9.230,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268174,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005359,100.110.9.234,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3957786,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005365,100.110.9.245,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA2876183,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005367,100.110.9.248,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464958,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005457,100.110.15.185,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464859,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005626,100.110.3.254,1,3,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076489,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005762,100.110.10.159,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4506866,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005764,100.110.10.161,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4506795,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005779,100.110.10.45,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4506888,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER005982,100.110.8.223,1,3,IPC060401057,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4198953,FWA-1010VC,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER006152,100.110.15.209,1,3,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268084,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER006409,100.110.3.241,1,3,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA2882126,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER006609,192.168.28.129,1,3,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2820870,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER006625,192.168.28.207,1,3,IPC04578,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2882125,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER006723,100.110.15.141,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464946,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER006937,100.110.9.47,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464839,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER006939,100.110.9.45,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268176,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER007006,100.110.3.136,1,4,IPC04578,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3725738,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER007770,100.110.9.94,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3372822,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER007771,100.110.9.95,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268164,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER007870,100.110.9.111,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4506877,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER008121,100.110.9.97,1,4,IPC05538,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4324958,FWA-1010VC,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER008468,192.168.28.137,1,4,IPC04624,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2876205,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
GER008629,100.110.10.207,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA2945737,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER008727,100.110.9.206,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268175,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER008737,100.110.9.186,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268121,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER008789,100.110.9.19,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078162,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009002,100.110.9.30,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078108,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009003,100.110.9.31,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4099161,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009006,100.110.15.184,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464962,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009010,100.110.10.78,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4506886,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009012,100.110.15.163,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4506904,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009014,100.110.15.158,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4435633,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009020,100.110.15.159,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464944,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009021,100.110.10.226,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4435593,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009499,100.110.9.150,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268090,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009779,100.110.9.52,1,4,IPC05538,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3887908,FWA-1010VC,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009888,100.110.9.118,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078143,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009889,100.110.9.117,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3773436,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER009988,100.110.9.132,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078146,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER011111,100.110.9.34,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4330635,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER011124,100.110.10.17,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4435671,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER011224,100.110.10.18,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4435711,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER012342,100.110.10.21,1,4,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3372825,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER012343,100.110.10.19,1,5,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076496,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER012345,100.110.9.233,1,5,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4047785,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER012346,100.110.9.235,1,5,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA2537919,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER012356,100.110.9.236,1,5,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268177,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER012987,100.110.10.44,1,5,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4464973,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER022963,100.110.10.31,1,5,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4506816,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER024576,100.110.9.69,1,5,IPC060302230,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268094,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
