cpe,filename,file_upload
AMS000208,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANG000013,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000118,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000206,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANG000014,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000009,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000099,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000988,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000095,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AGF000022,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000718,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000631,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS009998,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000170,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AGP000094,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000090,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000097,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000126,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000344,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS004633,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000342,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANG000025,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS001320,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000894,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000089,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000304,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANE000031,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000832,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000603,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AMS000170,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR008466,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR008465,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000992,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000672,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000902,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000904,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000920,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR004777,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000916,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000912,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000885,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000911,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000578,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000015,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000498,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR000995,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AUS000022,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AUS000023,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AUT000005,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000912,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000246,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000556,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000389,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000895,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000041,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000042,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
AVN000106,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
ANR003756,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000348,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000363,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN001125,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000540,fdc_r2s9_patch3.bin,"File Transfer Failed : @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@    WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!     @
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
IT IS POSSIBLE THAT SOMEONE IS DOING SOMETHING NASTY!
Someone could be eavesdropping on you right now (man-in-the-middle attack)!
It is also possible that a host key has just been changed.
The fingerprint for the ED25519 key sent by the remote host is
SHA256:PyRJKVZTfxB4jiFtIagtmWp7FmXxbyL0N4NoNFbAoi0.
Please contact your system administrator.
Add correct host key in /root/.ssh/known_hosts to get rid of this message.
Offending ED25519 key in /root/.ssh/known_hosts:108
  remove with:
  ssh-keygen -f ""/root/.ssh/known_hosts"" -R 192.168.28.213
Password authentication is disabled to avoid man-in-the-middle attacks.
Keyboard-interactive authentication is disabled to avoid man-in-the-middle attacks.
Permission denied (publickey,password).
rsync: connection unexpectedly closed (0 bytes received so far) [sender]
rsync error: unexplained error (code 255) at io.c(226) [sender=3.1.1]
"
BCN000949,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000944,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000356,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000081,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000922,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000064,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000067,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000928,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN008046,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000646,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000908,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN007999,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN006632,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000439,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000888,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000926,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN065384,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000932,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN000934,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000940,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN008749,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN006981,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN001378,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000052,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000010,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000914,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN059084,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BCN004315,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRI000500,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BMU000202,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BMU000200,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU000004,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRA000018,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BHX000900,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRN002349,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000985,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BLQ000520,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRS001104,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER005632,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BLQ000092,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRN000201,fdc_r2s9_patch3.bin,"File Transfer Failed : @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@    WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!     @
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
IT IS POSSIBLE THAT SOMEONE IS DOING SOMETHING NASTY!
Someone could be eavesdropping on you right now (man-in-the-middle attack)!
It is also possible that a host key has just been changed.
The fingerprint for the ED25519 key sent by the remote host is
SHA256:OPNhhXXLLEAcis+ZPLYLmkhrI1aVU7KUWgNxyTohUAE.
Please contact your system administrator.
Add correct host key in /root/.ssh/known_hosts to get rid of this message.
Offending ED25519 key in /root/.ssh/known_hosts:123
  remove with:
  ssh-keygen -f ""/root/.ssh/known_hosts"" -R 100.110.2.195
Password authentication is disabled to avoid man-in-the-middle attacks.
Keyboard-interactive authentication is disabled to avoid man-in-the-middle attacks.
Permission denied (publickey,password).
rsync: connection unexpectedly closed (0 bytes received so far) [sender]
rsync error: unexplained error (code 255) at io.c(226) [sender=3.1.1]
"
BLX000004,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BFE000022,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BHX000368,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRS000074,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER009767,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER009768,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRE001041,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRE001040,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BOU000022,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER000996,fdc_r2s9_patch3.bin,"File Transfer Failed : @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@    WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!     @
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
IT IS POSSIBLE THAT SOMEONE IS DOING SOMETHING NASTY!
Someone could be eavesdropping on you right now (man-in-the-middle attack)!
It is also possible that a host key has just been changed.
The fingerprint for the ED25519 key sent by the remote host is
SHA256:0quo+/jKTewCsEzl7b2jPL+cjhQymtrHOff479fxI7c.
Please contact your system administrator.
Add correct host key in /root/.ssh/known_hosts to get rid of this message.
Offending ED25519 key in /root/.ssh/known_hosts:106
  remove with:
  ssh-keygen -f ""/root/.ssh/known_hosts"" -R 192.168.28.225
Password authentication is disabled to avoid man-in-the-middle attacks.
Keyboard-interactive authentication is disabled to avoid man-in-the-middle attacks.
Permission denied (publickey,password).
rsync: connection unexpectedly closed (0 bytes received so far) [sender]
rsync error: unexplained error (code 255) at io.c(226) [sender=3.1.1]
"
BHX000505,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER005236,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU000006,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU000007,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER004896,fdc_r2s9_patch3.bin,"File Transfer Failed : @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@    WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!     @
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
IT IS POSSIBLE THAT SOMEONE IS DOING SOMETHING NASTY!
Someone could be eavesdropping on you right now (man-in-the-middle attack)!
It is also possible that a host key has just been changed.
The fingerprint for the ED25519 key sent by the remote host is
SHA256:0quo+/jKTewCsEzl7b2jPL+cjhQymtrHOff479fxI7c.
Please contact your system administrator.
Add correct host key in /root/.ssh/known_hosts to get rid of this message.
Offending ED25519 key in /root/.ssh/known_hosts:106
  remove with:
  ssh-keygen -f ""/root/.ssh/known_hosts"" -R 192.168.28.225
Password authentication is disabled to avoid man-in-the-middle attacks.
Keyboard-interactive authentication is disabled to avoid man-in-the-middle attacks.
Permission denied (publickey,password).
rsync: connection unexpectedly closed (0 bytes received so far) [sender]
rsync error: unexplained error (code 255) at io.c(226) [sender=3.1.1]
"
BLX000001,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BER011169,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU000081,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU001724,fdc_r2s9_patch3.bin,"File Transfer Failed : @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@    WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!     @
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
IT IS POSSIBLE THAT SOMEONE IS DOING SOMETHING NASTY!
Someone could be eavesdropping on you right now (man-in-the-middle attack)!
It is also possible that a host key has just been changed.
The fingerprint for the ED25519 key sent by the remote host is
SHA256:9AaBK9YrcjolSOQZ064yLUDMi0g4eNptNLyuOVg20x4.
Please contact your system administrator.
Add correct host key in /root/.ssh/known_hosts to get rid of this message.
Offending ED25519 key in /root/.ssh/known_hosts:128
  remove with:
  ssh-keygen -f ""/root/.ssh/known_hosts"" -R 100.110.3.186
Password authentication is disabled to avoid man-in-the-middle attacks.
Keyboard-interactive authentication is disabled to avoid man-in-the-middle attacks.
Permission denied (publickey,password).
rsync: connection unexpectedly closed (0 bytes received so far) [sender]
rsync error: unexplained error (code 255) at io.c(226) [sender=3.1.1]
"
BRU000174,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU006652,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU009092,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU000317,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU001954,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
BRU002182,fdc_r2s9_patch3.bin,File Transfer Success : Transfered size 32707
